subno,subname,ltp,crd
CB102,Biology,1.5-0-0,3
CB201,Chemical Process Calculations,2-1-0,6
CB202,Heat Transfer,3-1-0,8
CB203,Fluid Mechanics,3-1-0,8
CB204,Mass Transfer - I,2-1-0,6
CB205,Mechanical Operations,3-0-0,6
CB206,Chemical Engineering Thermodynamics,3-0-0,6
CB208,Process Equipment Design - I,1-0-3,5
CB210,Mechanical Operations and Fluid Flow Lab,0-0-3,3
CB211,Chemical Process Calculations,3-1-0,8
CB301,Chemical Reaction Engineering,3-0-0,6
CB302,Chemical Reaction Engineering,3-0-0,6
CB303,Mass Transfer - II,2-1-0,6
CB304,Chemical Process Modelling and Simulation,3-0-0,6
CB305,Chemical Process Technology,3-0-0,6
CB306,Chemical Process Simulation Lab,0-0-3,3
CB307,Process Eqipment Design - II,1-0-3,5
CB308,Process Control and Instrumentation,3-1-0,8
CB309,Mass Transfer Lab,0-0-3,3
CB310,Chemical Reaction Engg. and Environmental Engg. Lab,0-0-3,3
CB311,Process Control and Instrumentation,3-1-0,8
CB314,Unit Operations and Heat Transfer Lab,0-0-3,3
CB315,Reaction Engineering and Chemical Process Laboratory,0-0-3,3
CB316,Process Control and Instrumentation,3-0-0,6
CB317,Heat Transfer and Thermodynamics Lab,0-0-3,3
CB318,Chemical Reactor Design,3-0-0,6
CB320,Catalysis Science and Engineering,3-0-0,6
CB324,Bio Process Engineering,3-0-0,6
CB401,Transport Phenomena,3-1-0,8
CB402,Project - II,0-0-12,12
CB403,Summer Training,0-0-0,1
CB404,Process Plant Design and Economics,3-0-0,6
CB405,Process Control Lab,0-0-3,3
CB406,Bio Process Engineering,3-0-0,6
CB407,Process Plant Design and Economics,3-0-0,6
CB409,Grand Viva,0-0-0,1
CB411,Process Equipment Design - II,3-0-0,6
CB412,Chemical Process Modelling and Simulation,3-0-0,6
CB417,Project - I,0-0-8,8
CB428,Renewable Energy Sources,3-0-0,6
CB501,Molecular Modeling and Simulation,3-0-0,6
CB502,Heterogeneous Catalysis - Fundamentals and Applications,3-0-0,6
CB503,Process Integration,3-0-0,6
CB504,Renewable and Non-Conventional Energy Sources,3-0-0,6
CB505,Bioprocess Principles and Biotechnology,3-0-0,6
CB508,Advanced Separation Processes,2-0-2,6
CE102,Environmental Studies,1.5-0-0,3
CE111,Engineering Drawing,1-0-3,5
CE201,Introduction to Materials and Solid Mechanics,3-0-0,6
CE202,Structural Analysis,3-1-0,8
CE203,Geomatics Engineering,3-0-0,6
CE204,Irrigation and Flood Control Engineering,3-0-0,6
CE205,Fluid Mechanics and Hydraulics,3-0-0,6
CE206,Introduction to Soil Mechanics and Foundation Engineering,3-0-0,6
CE207,Fluid Mechanics and Hydraulics Laboratory,0-0-3,3
CE208,Numerical Methods for Civil and Infrastructure Engineering,3-0-0,6
CE209,Geomatics Engineering Laboratory,0-0-3,3
CE210,Soil Mechanics Laboratory,0-0-3,3
CE211,Structural Mechanics,3-0-0,6
CE212,Geomatics Engineering Laboratory,0-0-3,3
CE213,Fluid Mechanics,3-0-0,6
CE214,Soil Mechanics,3-0-0,6
CE216,Civil Engineering Materials,3-0-0,6
CE218,Infrastructure Drawing and Estimation,1-0-3,5
CE220,Structural Analysis,3-0-0,6
CE291,Fluid Mechanics Laboratory,0-0-3,3
CE292,Soil Mechanics Laboratory,0-0-3,3
CE293,Geomatics Engineering Laboratory,0-0-3,3
CE301,Design of Reinforced Concrete Structures,3-1-0,8
CE302,Design of Steel Structures,3-1-0,8
CE303,Water Supply and Wastewater Engineering,3-0-0,6
CE304,"Infrastructure Planning, Management and Evaluation",3-0-0,6
CE305,Transportation Engineering,3-0-0,6
CE306,Town and Regional Planning,3-0-0,6
CE307,Construction Planning and Management,3-0-0,6
CE308,Machineries in Infrastructure Engineering,3-0-0,6
CE309,"Building Design, Estimation & Construction",2-0-3,7
CE310,Environmental Quality and Pollution Measurement Laboratory,0-0-3,3
CE311,Structural Laboratory,0-0-3,3
CE312,Seminar,0-0-3,3
CE313,Transportation Engineering Laboratory,0-0-3,3
CE314,Water Resources Engineering,3-0-0,6
CE315,Industrial Waste Treatment and Management,3-0-0,6
CE316,Advanced Soil Mechanics and Foundation Engineering,3-0-0,6
CE317,Foundation Engineering,3-0-0,6
CE318,Construction Planning and Management,3-0-0,6
CE319,Numerical Methods in Civil Engineering,3-0-0,6
CE320,Design of Steel Structures,3-0-0,6
CE321,Design of Reinforced Concrete Structures,3-0-0,6
CE322,Hydrology,3-0-0,6
