Roll,Sem,SubCode,Credit,Grade,Sub_Type
0401CS01,1,CH101,8,BB,CORE
0401CS01,1,CH110,3,BC,CORE
0401CS01,1,EE101,8,BB,CORE
0401CS01,1,HS101,6,BB,CORE
0401CS01,1,MA101,8,BB,CORE
0401CS01,1,ME111,7,AB,CORE
0401CS01,1,PH101,6,CC,CORE
0401CS01,1,PH110,3,AA,CORE
0401CS01,2,CH102,6,CC,CORE
0401CS01,2,CS101,6,BC,CORE
0401CS01,2,CS110,3,BC,CORE
0401CS01,2,EE102,4,BB,CORE
0401CS01,2,MA102,8,BC,CORE
0401CS01,2,ME101,8,BC,CORE
0401CS01,2,ME110,3,AB,CORE
0401CS01,2,PH102,6,CD,CORE
0401CS01,3,CS201,9,BB,CORE
0401CS01,3,CS203,6,BB,CORE
0401CS01,3,CS221,6,BB,CORE
0401CS01,3,EE220,8,BB,CORE
0401CS01,3,HS201,6,BB,HS Elective
0401CS01,3,MA201,8,BB,CORE
0401CS01,4,CS204,6,BB,CORE
0401CS01,4,CS222,6,CC,CORE
0401CS01,4,CS223,3,BB,CORE
0401CS01,4,CS241,7,AB,CORE
0401CS01,4,CS242,5,AB,CORE
0401CS01,4,HS202,6,BB,HS ELECTIVE
0401CS01,4,MA225,8,BB,CORE
0401CS01,4,MA251,6,BB,Elective-Sc.
0401CS01,5,CS301,6,BB,CORE
0401CS01,5,CS331,8,BC,CORE
0401CS01,5,CS341,6,BB,CORE
0401CS01,5,CS342,5,AB,CORE
0401CS01,5,CS343,6,BB,CORE
0401CS01,5,CS344,6,BB,CORE
0401CS01,5,CS345,5,BB,CORE
0401CS01,6,CS302,6,BC,CORE
0401CS01,6,CS346,6,BC,CORE
0401CS01,6,CS347,3,BB,CORE
0401CS01,6,CS348,8,BC,CORE
0401CS01,6,CS362,8,CC,CORE
0401CS01,6,CS399,3,AA,CORE
0401CS01,6,HS331,6,BB,HS Elective
0401CS01,7,CS400,2,AB,CORE
0401CS01,7,CS421,6,BC,CORE
0401CS01,7,CS422,5,BB,CORE
0401CS01,7,CS443,6,AB,DEPARTMENTAL ELECTIVE - II
