rollno,register_sem,schedule_sem,subno,grade1,date_of_entry1,grade2,date_of_entry2,sub_type,slot
1901CE05,5,5,CE303,NULL,NULL,NULL,NULL,CORE,NULL
1901CE05,5,5,CE317,NULL,NULL,NULL,NULL,CORE,NULL
1901CE05,5,5,CE319,NULL,NULL,NULL,NULL,CORE,NULL
1901CE05,5,5,CE321,NULL,NULL,NULL,NULL,CORE,NULL
1901CE05,5,5,CE391,NULL,NULL,NULL,NULL,CORE,NULL
1901CE05,5,5,CE393,NULL,NULL,NULL,NULL,CORE,NULL
2012CH03,3,3,CH601,NULL,NULL,NULL,NULL,Elective - I,NULL
2012CH03,3,3,CH521,NULL,NULL,NULL,NULL,CORE,NULL
2012CH03,3,3,CH523,NULL,NULL,NULL,NULL,CORE,NULL
2012CH03,3,3,CH525,NULL,NULL,NULL,NULL,CORE,NULL
2012CH03,3,3,CH527,NULL,NULL,NULL,NULL,CORE,NULL
2012CH03,3,3,CH530,NULL,NULL,NULL,NULL,CORE,NULL
2012CH03,3,3,CH591,NULL,NULL,NULL,NULL,CORE,NULL
2011MT20,3,3,MH603,NULL,NULL,NULL,NULL,CORE,NULL
2011CE09,3,3,CE605,NULL,NULL,NULL,NULL,CORE,NULL
2011MT02,3,3,MH603,NULL,NULL,NULL,NULL,CORE,NULL
2011EE14,3,3,EE595,NULL,NULL,NULL,NULL,CORE,NULL
1901EE35,5,5,HS301,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE35,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE35,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE35,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE35,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE35,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE35,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
2012MA24,3,3,MA529,NULL,NULL,NULL,NULL,Elective - II,NULL
2012MA24,3,3,MA521,NULL,NULL,NULL,NULL,CORE,NULL
2012MA24,3,3,MA523,NULL,NULL,NULL,NULL,CORE,NULL
2012MA24,3,3,MA525,NULL,NULL,NULL,NULL,CORE,NULL
2012MA24,3,3,MA591,NULL,NULL,NULL,NULL,CORE,NULL
2012PH21,3,3,PH601,NULL,NULL,NULL,NULL,Elective - I,NULL
2012PH21,3,3,PH521,NULL,NULL,NULL,NULL,CORE,NULL
2012PH21,3,3,PH523,NULL,NULL,NULL,NULL,CORE,NULL
2012PH21,3,3,PH525,NULL,NULL,NULL,NULL,CORE,NULL
2012PH21,3,3,PH527,NULL,NULL,NULL,NULL,CORE,NULL
2012PH21,3,3,PH591,NULL,NULL,NULL,NULL,CORE,NULL
2011MT22,3,3,MH603,NULL,NULL,NULL,NULL,CORE,NULL
1901EE16,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE16,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE16,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE16,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE16,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE16,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE16,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901EE44,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE44,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE44,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE44,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE44,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE44,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE44,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901EE42,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE42,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE42,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE42,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE42,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
1901EE42,5,5,EE372,NULL,NULL,NULL,NULL,CORE,NULL
1901EE42,5,5,EE381,NULL,NULL,NULL,NULL,CORE,NULL
1901CS69,5,5,HS301,NULL,NULL,NULL,NULL,Open Elective,NULL
1901CS69,5,5,CS303,NULL,NULL,NULL,NULL,CORE,NULL
1901CS69,5,5,CS321,NULL,NULL,NULL,NULL,CORE,NULL
1901CS69,5,5,CS322,NULL,NULL,NULL,NULL,CORE,NULL
1901CS69,5,5,CS354,NULL,NULL,NULL,NULL,CORE,NULL
1901CS69,5,5,CS355,NULL,NULL,NULL,NULL,CORE,NULL
1901CE06,5,5,CE303,NULL,NULL,NULL,NULL,CORE,NULL
1901CE06,5,5,CE317,NULL,NULL,NULL,NULL,CORE,NULL
1901CE06,5,5,CE319,NULL,NULL,NULL,NULL,CORE,NULL
1901CE06,5,5,CE321,NULL,NULL,NULL,NULL,CORE,NULL
1901CE06,5,5,CE391,NULL,NULL,NULL,NULL,CORE,NULL
1901CE06,5,5,CE393,NULL,NULL,NULL,NULL,CORE,NULL
1901EE68,5,5,CS384,NULL,NULL,NULL,NULL,Open Elective,NULL
1901EE68,5,5,EE330,NULL,NULL,NULL,NULL,CORE,NULL
1901EE68,5,5,EE331,NULL,NULL,NULL,NULL,CORE,NULL
1901EE68,5,5,EE350,NULL,NULL,NULL,NULL,CORE,NULL
1901EE68,5,5,EE370,NULL,NULL,NULL,NULL,CORE,NULL
